Player,TeamPos,Pts,Ave
Chargers D/ST,LACD/ST,93.9,5.9
Patriots D/ST,NED/ST,94.1,5.9
Titans D/ST,TenD/ST,95.7,6
Broncos D/ST,DenD/ST,89.6,5.6
Greg Zuerlein,LARK,161.6,10.1
Justin Tucker,BalK,148.5,9.3
Wil Lutz,NOK,137.4,8.6
Harrison Butker,KCK,137.7,8.6
Stephen Gostkowski,NEK,133.5,8.3
Ka'imi Fairbairn,HouK,134.9,8.4
Robbie Gould,SFK,134,8.4
Mike Badgley,LACK,133,8.3
Brett Maher,DalK,128.9,8.1
Matt Prater,DetK,127.6,8
DaeSean Hamilton,DenWR,137.8,8.6
Devin Funchess,IndWR,128.6,8
DJ CharkQ,JaxWR,125.5,7.8
Jack Doyle,IndTE,120.4,8
Jordan ReedQ,WshTE,139.9,10
Jimmy GrahamQ,GBTE,125.1,7.8
Jameis Winston,TBQB,276.3,19.7
Philip Rivers,LACQB,267.3,17.8
Kirk Cousins,MinQB,263.6,17.6
Dion Lewis,TenRB,127.7,8.5
Tony Pollard,DalRB,35.3,2.4
Giovani Bernard,CinRB,122.1,8.1
Ronald Jones,TBRB,110.8,7.4
Justin Jackson,LACRB,54.5,3.6
Mecole Hardman,KCWR,98.7,6.2
Deebo Samuel,SFWR,105.3,7
Paul Richardson,WshWR,130.4,8.1
Tre'Quan Smith,NOWR,82.6,5.2
Chris Conley,JaxWR,129.2,8.1
A.J. Brown,TenWR,109,6.8
Ted Ginn Jr.,NOWR,128.4,8.6
Derek Carr,OakQB,242.7,16.2
Kyle Rudolph,MinTE,129.7,8.1
Justice Hill,BalRB,52.4,3.5
Damarea Crockett,HouRB,86.7,5.8
Malcolm Brown,LARRB,39.7,2.6
Kareem HuntSSPD,CleRB,96.1,13.7
Chris Thompson,WshRB,114.1,8.1
Texans D/ST,HouD/ST,86.8,5.4
Eagles D/ST,PhiD/ST,99,6.2
Jake Elliott,PhiK,134.8,8.4
Mason Crosby,GBK,130.6,8.2
Chris HerndonSSPD,NYJTE,101.3,8.4
Ty Montgomery,NYJRB,72.8,4.9
Dare Ogunbowale,TBRB,48.8,3.3
Terry McLaurin,WshWR,96.9,6.1
Andy Isabella,AriWR,86.1,5.4
Cole Beasley,BufWR,145.2,9.1
C.J. Anderson,DetRB,110.9,7.4
Adrian Peterson,WshRB,69,4.6
Gus Edwards,BalRB,67.4,4.5
Chase Edmonds,AriRB,68.5,4.6
Alexander Mattison,MinRB,53.9,3.6
Jamaal Williams,GBRB,111.3,7.4
Ty Johnson,DetRB,29.6,2
Dontrell Hilliard,CleRB,62.1,4.1
Ito Smith,AtlRB,79.2,5.3
Frank Gore,BufRB,99.4,6.6
Mike Davis,ChiRB,41.5,2.8
Darren Waller,OakTE,119.6,7.5
T.J. Hockenson,DetTE,111.4,7
Sam Darnold,NYJQB,239.2,15.9
Taylor Gabriel,ChiWR,117.5,7.3
Parris CampbellQ,IndWR,86.6,5.4
N'Keal HarryQ,NEWR,84.2,5.3
Jakobi Meyers,NEWR,40.1,2.5
Randall Cobb,DalWR,111.5,7.4
Deon Cain,IndWR,51.6,3.2
Josh Allen,BufQB,258,17.2
Jimmy Garoppolo,SFQB,241.8,16.1
Colts D/ST,IndD/ST,94.4,5.9
Browns D/ST,CleD/ST,97.3,6.1
Ryan Succop,TenK,128.4,8
Aldrick Rosas,NYGK,127.3,8
DeVante Parker,MiaWR,120.8,8.1
Zay Jones,BufWR,105.7,6.6
Nelson Agholor,PhiWR,105.7,6.6
Quincy Enunwa,NYJWR,110.1,7.3
Josh Doctson,WshWR,113,7.5
Trey QuinnQ,WshWR,102.6,6.4
Willie Snead IV,BalWR,113.2,7.1
John Ross IIIQ,CinWR,96.2,6.4
Preston Williams,MiaWR,92.2,5.8
Rashard Higgins,CleWR,90.8,5.7
Mark Walton,MiaRB,27.3,1.8
Ryquell Armstead,JaxRB,41,2.7
Carlos Hyde,KCRB,49.6,3.3
DeAndre Washington,OakRB,--,--
Jerick McKinnonQ,SFRB,69,6.3
Darren Sproles,PhiRB,63.5,4.5
Benny Snell Jr.,PitRB,36.2,2.4
Alfred BlueQ,JaxRB,60.2,4
Matthew Stafford,DetQB,241.7,16.1
Marcus Mariota,TenQB,222.5,15.9
Jacoby Brissett,IndQB,260.9,17.4
Tyler Eifert,CinTE,106.2,8.2
Will Dissly,SeaTE,104,6.5
Noah Fant,DenTE,103,6.4
Dallas GoedertQ,PhiTE,115.4,7.2
Theo RiddickD,DenRB,71,5.9
Hunter Renfrow,OakWR,82.4,5.2
JJ Arcega-Whiteside,PhiWR,49.7,3.1
Ravens D/ST,BalD/ST,86,5.4
Steelers D/ST,PitD/ST,96,6
Giorgio Tavecchio,AtlK,125.3,7.8
Adam Vinatieri,IndK,119.1,7.4
